feature,coef,abs_coef,group,rank_in_group,stage_id
排产比例__mean_roll_std_3,8.614911748563982,8.614911748563982,排产比例,1.0,1
排产比例__mean_mom_3,-7.140180705166019,7.140180705166019,排产比例,2.0,1
排产比例__range,-5.341738842010551,5.341738842010551,排产比例,3.0,1
排产比例__max_minus_min,-5.341738842010551,5.341738842010551,排产比例,4.0,1
排产比例__range_over_mean,-5.272236059916219,5.272236059916219,排产比例,5.0,1
CTO成本__min,8.010916806254128,8.010916806254128,CTO成本,1.0,2
CTO成本__last,8.010916806254128,8.010916806254128,CTO成本,2.0,2
CTO成本__mean_roll_std_6,7.803292902420886,7.803292902420886,CTO成本,3.0,2
CTO成本__mean,7.381570473937962,7.381570473937962,CTO成本,4.0,2
CTO成本__mean_roll_mean_6,7.2979900240445765,7.2979900240445765,CTO成本,5.0,2
PP产量__mean_roll_mean_3,-8.439482401617832,8.439482401617832,PP产量,1.0,2
PP产量__mean_roll_std_12,-8.155102936595641,8.155102936595641,PP产量,2.0,2
PP产量__mean_roll_mean_6,-7.474366901706739,7.474366901706739,PP产量,3.0,2
PP产量__mean_roll_mean_12,-6.157186375272676,6.157186375272676,PP产量,4.0,2
PP产量__mean_mom_1,4.775647832556265,4.775647832556265,PP产量,5.0,2
PP开工率__max,-8.614204715304625,8.614204715304625,PP开工率,1.0,2
PP开工率__mean_roll_mean_12,-7.871505487798526,7.871505487798526,PP开工率,2.0,2
PP开工率__mean_roll_mean_3,-7.716476222064107,7.716476222064107,PP开工率,3.0,2
PP开工率__mean,-7.300466020840214,7.300466020840214,PP开工率,4.0,2
PP开工率__mean_roll_mean_6,-7.234435939472308,7.234435939472308,PP开工率,5.0,2
丙烯成本__max,8.49275428709741,8.49275428709741,丙烯成本,1.0,2
丙烯成本__mean,8.468195070036137,8.468195070036137,丙烯成本,2.0,2
丙烯成本__mean_roll_std_6,-8.419551956198141,8.419551956198141,丙烯成本,3.0,2
丙烯成本__mean_roll_mean_3,7.874183331531766,7.874183331531766,丙烯成本,4.0,2
丙烯成本__mean_roll_std_12,-7.591640482335164,7.591640482335164,丙烯成本,5.0,2
塑编开工率__max,-8.664754609260015,8.664754609260015,塑编开工率,1.0,2
塑编开工率__mean,-8.493236992061743,8.493236992061743,塑编开工率,2.0,2
塑编开工率__mean_roll_mean_12,-7.935796147746554,7.935796147746554,塑编开工率,3.0,2
塑编开工率__mean_roll_std_12,7.628652845944528,7.628652845944528,塑编开工率,4.0,2
塑编开工率__mean_roll_mean_3,-7.215113199740378,7.215113199740378,塑编开工率,5.0,2
排产比例__mean_roll_std_6,-8.231761597306397,8.231761597306397,排产比例,1.0,2
排产比例__mean_roll_mean_3,-7.8819783951368185,7.8819783951368185,排产比例,2.0,2
排产比例__last_minus_mean,7.680771990927752,7.680771990927752,排产比例,3.0,2
排产比例__mean,-7.618483949041899,7.618483949041899,排产比例,4.0,2
排产比例__mean_roll_mean_12,-7.349110069172048,7.349110069172048,排产比例,5.0,2
CTO成本__range,16.07546588638201,16.07546588638201,CTO成本,1.0,3
CTO成本__max_minus_min,16.07546588638201,16.07546588638201,CTO成本,2.0,3
CTO成本__mean_mom_3,14.820003135147319,14.820003135147319,CTO成本,3.0,3
CTO成本__mean_roll_std_6,13.898036353525804,13.898036353525804,CTO成本,4.0,3
CTO成本__range_over_mean,13.713284774174182,13.713284774174182,CTO成本,5.0,3
PP开工率__mean_roll_std_3,-25.823444584784358,25.823444584784358,PP开工率,1.0,3
PP开工率__mean_roll_mean_3,17.01635526993264,17.01635526993264,PP开工率,2.0,3
PP开工率__mean_roll_std_12,14.556882800126456,14.556882800126456,PP开工率,3.0,3
PP开工率__last_minus_mean,-11.648938128128881,11.648938128128881,PP开工率,4.0,3
PP开工率__mean_mom_1,-10.60409963108997,10.60409963108997,PP开工率,5.0,3
PP石化库存__mean_roll_mean_3,-17.939478722916093,17.939478722916093,PP石化库存,1.0,3
PP石化库存__mean,-17.491009161106327,17.491009161106327,PP石化库存,2.0,3
PP石化库存__max,-17.49020616846598,17.49020616846598,PP石化库存,3.0,3
PP石化库存__mean_mom_3,-14.209651109617674,14.209651109617674,PP石化库存,4.0,3
PP石化库存__min,-13.997844359206805,13.997844359206805,PP石化库存,5.0,3
丙烯成本__mean_roll_std_3,-25.369085274964704,25.369085274964704,丙烯成本,1.0,3
丙烯成本__mean_mom_3,-21.494120592102885,21.494120592102885,丙烯成本,2.0,3
丙烯成本__mean_mom_1,-11.791010449859419,11.791010449859419,丙烯成本,3.0,3
丙烯成本__mean_roll_std_6,11.030826938766356,11.030826938766356,丙烯成本,4.0,3
丙烯成本__last_minus_mean,-10.265068301508975,10.265068301508975,丙烯成本,5.0,3
乙烯成本__mean_mom_1,-19.995288476660516,19.995288476660516,乙烯成本,1.0,3
乙烯成本__mean_mom_3,-16.793735453562597,16.793735453562597,乙烯成本,2.0,3
乙烯成本__range_over_mean,-14.80794401208372,14.80794401208372,乙烯成本,3.0,3
乙烯成本__range,-14.124862744621641,14.124862744621641,乙烯成本,4.0,3
乙烯成本__max_minus_min,-14.124862744621641,14.124862744621641,乙烯成本,5.0,3
排产比例__mean_roll_std_3,-22.121665377369304,22.121665377369304,排产比例,1.0,3
排产比例__mean_roll_mean_3,-19.931756759793743,19.931756759793743,排产比例,2.0,3
排产比例__mean_roll_std_12,15.737215933939712,15.737215933939712,排产比例,3.0,3
排产比例__last_minus_mean,11.833377857508705,11.833377857508705,排产比例,4.0,3
排产比例__mean_mom_12,-11.789348024213897,11.789348024213897,排产比例,5.0,3
CTO成本__range,-16.856506808561857,16.856506808561857,CTO成本,1.0,4
CTO成本__max_minus_min,-16.856506808561857,16.856506808561857,CTO成本,2.0,4
CTO成本__range_over_mean,-16.323403621769636,16.323403621769636,CTO成本,3.0,4
CTO成本__mean_roll_mean_6,-11.117559457805998,11.117559457805998,CTO成本,4.0,4
CTO成本__mean_roll_mean_12,10.286084122370267,10.286084122370267,CTO成本,5.0,4
MTO成本__mean_mom_1,14.97505893438458,14.97505893438458,MTO成本,1.0,4
MTO成本__mean_roll_std_12,-13.694170086833209,13.694170086833209,MTO成本,2.0,4
MTO成本__last,13.615521495460127,13.615521495460127,MTO成本,3.0,4
MTO成本__min,12.203589395316671,12.203589395316671,MTO成本,4.0,4
MTO成本__mean_roll_mean_12,11.971130405920107,11.971130405920107,MTO成本,5.0,4
PP石化库存__last,-16.136117892577207,16.136117892577207,PP石化库存,1.0,4
PP石化库存__mean_roll_std_6,-13.410155380648064,13.410155380648064,PP石化库存,2.0,4
PP石化库存__last_minus_mean,-12.43987242356729,12.43987242356729,PP石化库存,3.0,4
PP石化库存__min,-10.808766298836481,10.808766298836481,PP石化库存,4.0,4
PP石化库存__mean_roll_std_12,-9.704571527193028,9.704571527193028,PP石化库存,5.0,4
丙烯成本__mean_roll_mean_12,13.622976927997222,13.622976927997222,丙烯成本,1.0,4
丙烯成本__last,13.20432823827431,13.20432823827431,丙烯成本,2.0,4
丙烯成本__last_minus_mean,12.944626144275672,12.944626144275672,丙烯成本,3.0,4
丙烯成本__max,11.318611458267265,11.318611458267265,丙烯成本,4.0,4
丙烯成本__mean_roll_mean_3,11.192077456902016,11.192077456902016,丙烯成本,5.0,4
乙烯成本__mean_mom_1,15.62370390287538,15.62370390287538,乙烯成本,1.0,4
乙烯成本__mean_roll_mean_12,14.614953036500916,14.614953036500916,乙烯成本,2.0,4
乙烯成本__last_minus_mean,13.911271282342888,13.911271282342888,乙烯成本,3.0,4
乙烯成本__last,11.980315300813867,11.980315300813867,乙烯成本,4.0,4
乙烯成本__min,10.778054085897956,10.778054085897956,乙烯成本,5.0,4
塑编开工率__mean_mom_3,-19.98335649741379,19.98335649741379,塑编开工率,1.0,4
塑编开工率__max,-16.889175758974677,16.889175758974677,塑编开工率,2.0,4
塑编开工率__mean_roll_mean_3,-16.221696193706745,16.221696193706745,塑编开工率,3.0,4
塑编开工率__mean_roll_std_6,-13.772890539835833,13.772890539835833,塑编开工率,4.0,4
塑编开工率__mean_roll_std_12,-11.219622053310957,11.219622053310957,塑编开工率,5.0,4
MTO成本__mean_mom_1,12.089271210367048,12.089271210367048,MTO成本,1.0,5
MTO成本__max,8.625992542072646,8.625992542072646,MTO成本,2.0,5
MTO成本__mean_roll_std_12,8.255556239246127,8.255556239246127,MTO成本,3.0,5
MTO成本__mean,7.817249885246145,7.817249885246145,MTO成本,4.0,5
MTO成本__mean_roll_mean_12,7.059074103409161,7.059074103409161,MTO成本,5.0,5
PDH成本__last_minus_mean,10.822920528753514,10.822920528753514,PDH成本,1.0,5
PDH成本__mean_roll_mean_3,-9.449411770197692,9.449411770197692,PDH成本,2.0,5
PDH成本__range,-6.576947223159961,6.576947223159961,PDH成本,3.0,5
PDH成本__max_minus_min,-6.576947223159961,6.576947223159961,PDH成本,4.0,5
PDH成本__range_over_mean,-6.392010501120355,6.392010501120355,PDH成本,5.0,5
PP产量__mean_roll_std_3,-12.988057968701145,12.988057968701145,PP产量,1.0,5
PP产量__mean_roll_std_12,-10.638427449322204,10.638427449322204,PP产量,2.0,5
PP产量__mean_roll_std_6,-10.190384442146055,10.190384442146055,PP产量,3.0,5
PP产量__mean_roll_mean_3,-9.682315253209602,9.682315253209602,PP产量,4.0,5
PP产量__mean_roll_mean_6,-8.966237456184015,8.966237456184015,PP产量,5.0,5
PP开工率__mean_mom_12,8.262224913775153,8.262224913775153,PP开工率,1.0,5
PP开工率__mean_roll_std_12,-7.089682700093496,7.089682700093496,PP开工率,2.0,5
PP开工率__mean_mom_1,5.9722993994753875,5.9722993994753875,PP开工率,3.0,5
PP开工率__range_over_mean,-5.972251942927206,5.972251942927206,PP开工率,4.0,5
PP开工率__mean_roll_std_6,-5.90361046230624,5.90361046230624,PP开工率,5.0,5
丙烯成本__min,10.167677080012261,10.167677080012261,丙烯成本,1.0,5
丙烯成本__mean,8.029046633331598,8.029046633331598,丙烯成本,2.0,5
丙烯成本__last_minus_mean,-7.853136187729055,7.853136187729055,丙烯成本,3.0,5
丙烯成本__mean_roll_mean_12,7.82638884727022,7.82638884727022,丙烯成本,4.0,5
丙烯成本__mean_roll_mean_3,7.610766849811437,7.610766849811437,丙烯成本,5.0,5
塑编开工率__mean_roll_mean_12,8.171839502326028,8.171839502326028,塑编开工率,1.0,5
塑编开工率__mean_roll_mean_6,8.159500197435028,8.159500197435028,塑编开工率,2.0,5
塑编开工率__mean_mom_12,7.9283248208721,7.9283248208721,塑编开工率,3.0,5
塑编开工率__range_over_mean,-7.094304938906958,7.094304938906958,塑编开工率,4.0,5
塑编开工率__range,-6.984726333718496,6.984726333718496,塑编开工率,5.0,5
PDH成本__last_minus_mean,-9.00228089531512,9.00228089531512,PDH成本,1.0,6
PDH成本__min,6.9392953044918295,6.9392953044918295,PDH成本,2.0,6
PDH成本__mean,6.875090451662274,6.875090451662274,PDH成本,3.0,6
PDH成本__mean_roll_std_12,6.674859973125347,6.674859973125347,PDH成本,4.0,6
PDH成本__mean_roll_mean_3,5.643263205799431,5.643263205799431,PDH成本,5.0,6
PP开工率__last_minus_mean,6.673970971564012,6.673970971564012,PP开工率,1.0,6
PP开工率__mean_mom_3,-6.670815125299714,6.670815125299714,PP开工率,2.0,6
PP开工率__range_over_mean,6.29929478674864,6.29929478674864,PP开工率,3.0,6
PP开工率__mean_roll_mean_12,6.030325291780166,6.030325291780166,PP开工率,4.0,6
PP开工率__range,5.704798185598925,5.704798185598925,PP开工率,5.0,6
PP石化库存__range_over_mean,11.167804753207355,11.167804753207355,PP石化库存,1.0,6
PP石化库存__range,9.921671571815589,9.921671571815589,PP石化库存,2.0,6
PP石化库存__max_minus_min,9.921671571815589,9.921671571815589,PP石化库存,3.0,6
PP石化库存__mean_mom_1,9.914557529350402,9.914557529350402,PP石化库存,4.0,6
PP石化库存__mean_mom_12,-9.368700198701667,9.368700198701667,PP石化库存,5.0,6
排产比例__max,10.098429956102693,10.098429956102693,排产比例,1.0,6
排产比例__mean_mom_12,8.815776797008064,8.815776797008064,排产比例,2.0,6
排产比例__last_minus_mean,-8.252556991553499,8.252556991553499,排产比例,3.0,6
排产比例__mean_roll_std_6,-7.940920866969854,7.940920866969854,排产比例,4.0,6
排产比例__mean,7.67720870525346,7.67720870525346,排产比例,5.0,6
期货价格__mean_roll_std_6,-8.66901958939062,8.66901958939062,期货价格,1.0,6
期货价格__last,7.959830890045138,7.959830890045138,期货价格,2.0,6
期货价格__last_minus_mean,6.083254286353136,6.083254286353136,期货价格,3.0,6
期货价格__min,5.520161961433499,5.520161961433499,期货价格,4.0,6
期货价格__mean,5.076975054248787,5.076975054248787,期货价格,5.0,6
检修损失__mean_roll_mean_3,-11.273116753836927,11.273116753836927,检修损失,1.0,6
检修损失__mean_mom_1,9.330613534305487,9.330613534305487,检修损失,2.0,6
检修损失__mean_mom_3,-8.429428178590971,8.429428178590971,检修损失,3.0,6
检修损失__mean_roll_std_3,-6.567492539258089,6.567492539258089,检修损失,4.0,6
检修损失__mean_roll_mean_6,-6.053394769719942,6.053394769719942,检修损失,5.0,6
